"Date","Heure","Ordre(s) du jour"
"2020-12-15","15:00","Questions au Gouvernement      Éventuellement, lecture définitive du projet de loi organique relatif au Conseil économique, social et environnemental      Éventuellement, suite de la nouvelle lecture du projet de loi de finances pour 2021"
"2020-12-17","09:00","Éventuellement, lecture définitive du projet de loi de finances pour 2021      Éventuellement, lecture définitive du projet de loi relatif au retour de biens culturels à la République du Bénin et à la République du Sénégal      Éventuellement, lecture définitive du projet de loi relatif à la prorogation des chapitres VI à X du titre II du livre II et de l'article L. 851-3 du code de la sécurité intérieure      Suite de la discussion du projet de loi ratifiant l’ordonnance n° 2019-950 du 11 septembre 2019 portant partie législative du code de justice pénale des mineurs"
"2020-12-17","21:00","Lecture définitive du projet de loi de finances pour 2021      Suite de la discussion du projet de loi ratifiant l’ordonnance n° 2019-950 du 11 septembre 2019 portant partie législative du code de justice pénale des mineurs      Lecture définitif du projet de loi relatif au retour de biens culturels à la République du Bénin et à la République du Sénégal      Lecture définitive du projet de loi relatif à la prorogation des chapitres VI à X du titre II du livre II et de l'article L. 851-3 du code de la sécurité intérieure"
"2020-12-18","09:00","Suite de la discussion du projet de loi ratifiant l’ordonnance n° 2019-950 du 11 septembre 2019 portant partie législative du code de justice pénale des mineurs      Lecture définitive du projet de loi relatif au retour de biens culturels à la République du Bénin et à la République du Sénégal      Lecture définitive du projet de loi relatif à la prorogation des chapitres VI à X du titre II du livre II et de l'article L. 851-3 du code de la sécurité intérieure"
"2020-12-11","15:00","Suite de la discussion du projet de loi ratifiant l’ordonnance n° 2019-950 du 11 septembre 2019 portant partie législative du code de justice pénale des mineurs  "
"2020-12-14","16:00","Discussion, soit sur le rapport de la commission mixte partiaire, soit en nouvelle lecture, du projet de loi de finances pour 2021"
"2020-12-07","21:00","Suite de la discussion, en nouvelle lecture, du projet de loi relatif au retour de biens culturels à la République du Bénin et à la République du Sénégal        Suite de la discussion du projet de loi habilitant le Gouvernement à prendre les mesures relevant du domaine de la loi nécessaires pour assurer la  conformité du droit interne aux principes du code mondial antidopage et renforcer l’efficacité de la lutte contre le dopage"
"2020-12-09","21:00","Suite de la discussion du projet de loi autorisant l’approbation de l’accord de coopération entre le Gouvernement de la République française et les Gouvernements des Etats membres de l’Union monétaire ouest-africaine      Suite de la discussion du projet de loi, adopté par le Sénat après engagement de la procédure accélérée, relatif au Parquet européen et à la justice pénale spécialisée"
"2020-12-08","21:00","Suite de la discussion du projet de loi, adopté par le Sénat après engagement de la procédure accélérée, relatif au Parquet européen et à la justice pénale spécialisée"
"2020-12-10","15:00","Suite de la discussion du projet de loi, adopté par le Sénat après engagement de la procédure accélérée, relatif au Parquet européen et à la justice pénale spécialisée      Suite de la discussion du projet de loi ratifiant l’ordonnance n° 2019-950 du 11 septembre 2019 portant partie législative du code de justice pénale des mineurs"
"2020-12-14","21:00","Discussion, soit sur le rapport de la commission mixte partiaire, soit en nouvelle lecture, du projet de loi de finances pour 2021"
"2020-12-16","21:00","Suite de la discussion du projet de loi ratifiant l’ordonnance n° 2019-950 du 11 septembre 2019 portant partie législative du code de la justice pénale des mineurs  "
"2020-12-08","09:00","Questions orales sans débat "
"2020-12-15","21:00","Lecture définitive du projet de loi organique relatif au Conseil économique, social et environnemental      Nouvelle lecture du projet de loi de finances pour 2021"
"2020-12-17","15:00","Lecture définitive du projet de loi de finances pour 2021      Suite de la discussion du projet de loi ratifiant l’ordonnance n° 2019-950 du 11 septembre 2019 portant partie législative du code de justice pénale des mineurs      Lecture définitif du projet de loi relatif au retour de biens culturels à la République du Bénin et à la République du Sénégal      Lecture définitive du projet de loi relatif à la prorogation des chapitres VI à X du titre II du livre II et de l'article L. 851-3 du code de la sécurité intérieure"
"2020-12-18","21:00","Lecture définitive du projet de loi de finances pour 2021      Suite de la discussion du projet de loi ratifiant l’ordonnance n° 2019-950 du 11 septembre 2019 portant partie législative du code de justice pénale des mineurs      Lecture définitif du projet de loi relatif au retour de biens culturels à la République du Bénin et à la République du Sénégal      Lecture définitive du projet de loi relatif à la prorogation des chapitres VI à X du titre II du livre II et de l'article L. 851-3 du code de la sécurité intérieure"
"2020-12-18","15:00","Lecture définitive du projet de loi de finances pour 2021      Suite de la discussion du projet de loi ratifiant l’ordonnance n° 2019-950 du 11 septembre 2019 portant partie législative du code de justice pénale des mineurs      Lecture définitif du projet de loi relatif au retour de biens culturels à la République du Bénin et à la République du Sénégal"
"2020-12-11","21:00","Suite de la discussion du projet de loi ratifiant l’ordonnance n° 2019-950 du 11 septembre 2019 portant partie législative du code de justice pénale des mineurs  "
"2020-12-11","09:00","Suite de la discussion du projet de loi ratifiant l’ordonnance n° 2019-950 du 11 septembre 2019 portant partie législative du code de justice pénale des mineurs"
"2020-12-07","16:00","Discussion, en nouvelle lecture, du projet de loi relatif au retour de biens culturels à la République du Bénin et à la République du Sénégal      Discussion du projet de loi habilitant le Gouvernement à prendre les mesures relevant du domaine de la loi nécessaires pour assurer la  conformité du droit interne aux principes du code mondial antidopage et renforcer l’efficacité de la lutte contre le dopage"
"2020-12-09","15:00","Prestation de serment d'un juge suppléant à la Cour de justice de la République      Discussion du projet de loi autorisant l’approbation de l’accord de coopération entre le Gouvernement de la République française et les Gouvernements des Etats membres de l’Union monétaire ouest-africaine      Suite de la discussion du projet de loi, adopté par le Sénat après engagement de la procédure accélérée, relatif au Parquet européen et à la justice pénale spécialisée"
"2020-12-08","15:00","Questions au Gouvernement      Éloge funèbre de Jean-François Cesarini      Vote par scrutin public visant à améliorer le système de santé par la confiance et la simplification      Élection d'un juge suppléant à la Cour de justice de la République      Discussion du projet de loi, adopté par le Sénat après engagement de la procédure accélérée, relatif au Parquet européen et à la justice pénale spécialisée"
"2020-12-10","09:00","Discussion du projet de loi autorisant l’approbation de l’accord de coopération entre le Gouvernement de la République française et les Gouvernements des Etats membres de l’Union monétaire ouest-africaine      Discussion du projet de loi autorisant la ratification du protocole portant amendement de la convention relative aux infractions et à certains autres actes survenant à bord des aéronefs      Suite de la discussion du projet de loi, adopté par le Sénat après engagement de la procédure accélérée, relatif au Parquet européen et à la justice pénale spécialisée      Discussion du projet de loi ratifiant l’ordonnance n° 2019-950 du 11 septembre 2019 portant partie législative du code de justice pénale des mineurs"
"2020-12-16","15:00","Éventuellement, discussion, sur le rapport de la commission mixte paritaire, du projet de loi relatif au Parquet européen et à la justice pénale spécialisée      Déclaration du Gouvernement sur la politique migratoire de la France et de l'Europe suivie d'un débat, en application de l'article 50-1 de la Constitution      Lecture définitive du projet de loi relatif au retour de biens culturels à la République du Bénin et à la République du Sénégal"
"2020-12-10","21:00","Suite de la discussion du projet de loi, adopté par le Sénat après engagement de la procédure accélérée, relatif au Parquet européen et à la justice pénale spécialisée      Suite de la discussion du projet de loi ratifiant l’ordonnance n° 2019-950 du 11 septembre 2019 portant partie législative du code de justice pénale des mineurs"
